word,definition,sentence,synonyms,tags
acclaim,Enthusiastic public praise or approval.,The school acclaimed Marcus as a culinary genius after he discovered that frozen waffles taste better when you actually cook them.,praise; applause; commendation; acclaim,Green
acute,"Sharp, severe, or intense; also highly perceptive.",I developed acute embarrassment when my phone connected to the restaurant speakers and began playing whale sounds at full volume.,severe; intense; sharp; keen,Green
affirm,To state or confirm that something is true.,"Grandma solemnly affirmed that she had eaten only one cookie, while three more were visibly protruding from her purse.",confirm; assert; declare; verify,Green
aggravate,"To make a problem, condition, or situation worse.",Trying to fix the leaking sink with a hammer only aggravated the problem and introduced the kitchen to indoor rain.,worsen; exacerbate; intensify; inflame,Green
alien,"Foreign, unfamiliar, or belonging to another place or group.",The concept of waking up voluntarily before 7:00 a.m. was completely alien to Trevor.,foreign; unfamiliar; strange; extraneous,Green
ally,"A person, group, or nation joined with another for mutual support.",I gained a powerful ally in the battle for the last doughnut when Grandma quietly slid the box toward me.,partner; supporter; confederate; associate,Green
antidote,A remedy that counteracts a poison or harmful effect.,The only known antidote to Uncle Larry's three-hour slideshow was pretending the house was on fire.,remedy; cure; counteragent; corrective,Green
antiquated,Old-fashioned and no longer useful or appropriate.,Dad's antiquated GPS instructed us to turn onto a road that has apparently been a lake since 1994.,outdated; obsolete; archaic; old-fashioned,Green
apocryphal,Widely told or believed but of doubtful or unknown authenticity.,"The apocryphal family story claims Grandpa once wrestled an alligator, although Grandpa describes the animal as 'possibly a large handbag.'",legendary; dubious; unverified; mythical,Green
apprehension,Anxiety or fear about something that may happen.,"I approached the dentist with apprehension after hearing a drill and someone yell, 'Well, that's new.'",anxiety; dread; unease; foreboding,Green
arbitrary,Based on random choice or personal whim rather than a clear reason or rule.,The referee's arbitrary rule declared that goals scored while wearing purple socks counted double on Tuesdays.,random; capricious; unreasonable; discretionary,Green
atypical,Not representative of the usual type or pattern.,"It was atypical of our cat to greet visitors warmly, so we immediately checked whether he had been replaced by an impostor.",unusual; abnormal; uncharacteristic; irregular,Green
authoritative,"Commanding trust or respect because of knowledge, confidence, or official status.",The eight-year-old gave an authoritative lecture on dinosaurs despite repeatedly pronouncing 'Jurassic' as 'Jurassical.',definitive; commanding; expert; reliable,Green
avarice,Extreme greed for wealth or material gain.,His avarice became obvious when he charged his own grandmother a convenience fee for passing the salt.,greed; cupidity; acquisitiveness; rapacity,Green
avow,To state or admit something openly and firmly.,I avowed my innocence in the missing-cake investigation despite having frosting on both eyebrows.,declare; affirm; profess; acknowledge,Green
benign,"Harmless, gentle, or not dangerous.",The creature under my bed turned out to be benign: it was merely a sock wearing another sock.,harmless; mild; gentle; innocuous,Green
blight,"Something that damages, spoils, or destroys; to cause such damage.","The giant inflatable flamingo was a blight on the elegant garden, according to everyone except the flamingo's extremely proud owner.",scourge; ruin; affliction; spoil,Green
boon,Something highly beneficial or helpful.,Noise-canceling headphones were a boon during my brother's brief but passionate career as a recorder soloist.,benefit; blessing; advantage; aid,Green
boundless,Unlimited or seemingly without end.,Grandma displayed boundless patience while Grandpa attempted to reset the Wi-Fi by repeatedly unplugging the toaster.,limitless; infinite; endless; immeasurable,Green
burly,"Large, strong, and heavily built.","The burly security guard looked terrifying until a butterfly landed on him and he whispered, 'Hello, tiny friend.'",brawny; muscular; hulking; sturdy,Green
caustic,Bitingly sarcastic or harsh; chemically able to burn or corrode.,Her caustic review of my singing suggested that silence had been one of humanity's greatest inventions.,sarcastic; scathing; corrosive; cutting,Green
chastise,To criticize or punish someone severely.,Mom chastised us for launching grapes across the dining room as though we had violated international law.,rebuke; reprimand; scold; punish,Green
chide,To scold or gently criticize.,"Grandma chided me for eating dessert before dinner, then quietly handed me a second brownie.",scold; rebuke; admonish; reprove,Green
circumlocution,"The use of more words than necessary, especially to avoid saying something directly.","Through heroic circumlocution, Dad took eleven minutes to say that he had forgotten to buy milk.",wordiness; periphrasis; verbosity; roundabout speech,Green
compel,To force or strongly drive someone to do something.,The smell of fresh pizza compelled me to enter the kitchen despite having sworn eternal loyalty to my diet nine minutes earlier.,force; oblige; impel; coerce,Green
complacent,Too self-satisfied to notice or address possible problems.,"I became complacent after winning three chess games against my little cousin, who then revealed she had been moving the pieces randomly.",self-satisfied; smug; unworried; contented,Green
compromise,An agreement reached by mutual concessions; also to weaken or endanger something.,"We compromised: my brother got the window seat, and I got the right to complain about it for the entire flight.",settlement; concession; accommodation; endanger,Green
conceit,Excessive pride in oneself; also an elaborate idea or literary device.,"His conceit was extraordinary: after microwaving soup successfully, he began referring to himself as 'Chef Antonio.'",vanity; arrogance; self-importance; notion,Green
concise,Expressing much in few words; brief and clear.,"Asked to give a concise review of the hotel, Dad said, 'Bed good. Shower weird. Goose hostile.'",brief; succinct; terse; compact,Green
concur,To agree or share the same opinion.,I concurred with the dog that the vacuum cleaner was suspicious and should not be trusted.,agree; assent; coincide; consent,Green
considerate,Thoughtful about other people's needs and feelings.,"It was considerate of Leo to warn us before practicing the trumpet, although six seconds was not much evacuation time.",thoughtful; courteous; attentive; kind,Green
contrary,"Opposite in nature, direction, or meaning; stubbornly opposed.","Contrary to Dad's prediction, assembling the trampoline did require the instructions, three neighbors, and a brief period of prayer.",opposite; conflicting; adverse; contradictory,Green
convivial,"Friendly, cheerful, and enjoyable, especially in company.",The dinner was convivial until Uncle Pete introduced a spreadsheet ranking everyone's potato-salad contributions.,sociable; jovial; festive; genial,Green
cosmopolitan,Familiar with and influenced by many cultures; sophisticated and worldly.,"After eating sushi twice, Kevin became cosmopolitan enough to criticize the airport food in three languages he did not speak.",worldly; sophisticated; cultured; international,Green
credible,Believable or worthy of trust.,My story about the broken lamp became less credible when I blamed 'a highly organized squirrel syndicate.',believable; plausible; trustworthy; convincing,Green
defiant,"Boldly resisting authority, rules, or opposition.",The defiant toddler stared directly at his father while lowering one pea at a time onto the floor.,rebellious; resistant; insubordinate; bold,Green
