word,definition,sentences,synonyms,tags
abdicate,"to give up a position of power or a responsibility","The king abdicated the throne the moment he learned that ruling involved morning meetings.","renounce, resign, relinquish",Claude Bonus Words 1
abscond,"to leave quickly and secretly, usually to avoid capture","My cat absconded with the entire rotisserie chicken and now lives like a fugitive under the porch.","flee, bolt, make off",Claude Bonus Words 1
acerbic,"sharp and biting in tone or taste","Grandma's acerbic review of my meatloaf was just the word 'no' written on a napkin.","biting, caustic, sharp",Claude Bonus Words 1
affront,"an action or remark that openly insults someone","Calling my homemade birthday cake 'a brave attempt' was an affront I will not soon forget.","insult, offense, slight",Claude Bonus Words 1
allay,"to calm fears or reduce worry","Nothing allays my fear of spiders like my brother screaming louder than me.","soothe, calm, ease",Claude Bonus Words 1
allege,"to claim something without proof","My sister alleges that I ate her leftovers, but the fridge has no cameras and I have no regrets.","claim, assert, contend",Claude Bonus Words 1
allude,"to refer to something indirectly","Mom keeps alluding to 'a certain someone' who never unloads the dishwasher, and honestly, who could she mean?","hint, suggest, refer",Claude Bonus Words 1
amnesty,"an official pardon for offenses","The library declared amnesty week, and I returned a book so overdue it qualified as an antique.","pardon, forgiveness, reprieve",Claude Bonus Words 1
anathema,"something or someone intensely disliked; a curse","Pineapple on pizza is anathema to my dad, who treats each slice like a personal betrayal.","abomination, curse, taboo",Claude Bonus Words 1
antithesis,"the exact opposite of something","My alarm clock is the antithesis of joy.","opposite, converse, reverse",Claude Bonus Words 1
aphorism,"a short, clever saying expressing a truth","My uncle speaks only in aphorisms, so asking him for directions is like consulting a fortune cookie.","adage, maxim, proverb",Claude Bonus Words 1
archetype,"a perfect or typical example of something","With his flashlight, snacks, and untied shoelaces, Kevin is the archetype of a kid about to get lost on a field trip.","model, prototype, exemplar",Claude Bonus Words 1
baleful,"threatening harm; menacing","The goose gave me a baleful stare, and I wisely surrendered my sandwich.","menacing, sinister, ominous",Claude Bonus Words 1
balk,"to refuse or hesitate to proceed","The horse balked at the jump, and frankly, after seeing the jump, so would I.","refuse, hesitate, recoil",Claude Bonus Words 1
bastion,"a stronghold that defends something or a place well defended","The blanket fort remained the last bastion of quiet in a house full of toddlers.","stronghold, fortress, bulwark",Claude Bonus Words 1
beguile,"to charm or trick someone, often deceptively","The puppy beguiled us into three extra treats using nothing but eyebrow movements.","charm, enchant, deceive",Claude Bonus Words 1
bellicose,"eager to fight; aggressively hostile","The hamster became weirdly bellicose whenever anyone approached his wheel, squaring up like a tiny boxer.","combative, warlike, aggressive",Claude Bonus Words 1
blithe,"carefree and lighthearted; showing casual indifference","She skipped into the final exam with a blithe smile, having studied absolutely nothing.","carefree, cheerful, nonchalant",Claude Bonus Words 1
brandish,"to wave something around, especially a weapon, in a threatening or excited way","Dad brandished the spatula like a sword and declared the barbecue officially open.","wave, flourish, wield",Claude Bonus Words 1
bulwark,"a defensive wall or a person or thing that protects","The couch cushions formed a mighty bulwark against my sister's pillow attacks.","barrier, rampart, safeguard",Claude Bonus Words 1
calamity,"a disastrous event causing great damage","Dropping my phone in the toilet was a calamity; dropping it in the aquarium was somehow worse.","disaster, catastrophe, tragedy",Claude Bonus Words 1
callow,"young and inexperienced","As a callow young babysitter, I honestly believed the twins when they said bedtime was midnight.","inexperienced, naive, green",Claude Bonus Words 1
calumny,"the making of false statements to damage someone's reputation","Saying I cried during the movie is pure calumny; there was clearly something in my eye for ninety minutes.","slander, defamation, smear",Claude Bonus Words 1
caricature,"an exaggerated, often comic, portrayal of someone","The mall artist drew a caricature of me that was ninety percent teeth, and my family framed it immediately.","cartoon, parody, exaggeration",Claude Bonus Words 1
catharsis,"an emotional release that brings relief","Screaming into my pillow after losing at board games is a weekly catharsis in this family.","release, purging, relief",Claude Bonus Words 1
cavalier,"showing a careless lack of concern","He was strangely cavalier about the smoke pouring from the oven, calling it 'flavor in progress.'","offhand, dismissive, careless",Claude Bonus Words 1
caveat,"a warning or condition attached to something","I'll lend you my bike with one caveat: if the brakes squeal, that's the bike singing, not breaking.","warning, condition, proviso",Claude Bonus Words 1
chicanery,"trickery or deception to achieve a goal","Through sheer chicanery, my little brother traded me a 'rare' rock for my actual allowance.","trickery, deception, scheming",Claude Bonus Words 1
churlish,"rude and bad-tempered","It would be churlish to point out that Aunt Carol's famous casserole has never once been requested.","rude, surly, boorish",Claude Bonus Words 1
circumvent,"to find a way around an obstacle or rule","The dog circumvented the baby gate by befriending the toddler who could open it.","bypass, evade, sidestep",Claude Bonus Words 1
clamor,"a loud uproar or insistent demand","A clamor arose from the back seat when Dad drove past the ice cream stand without slowing down.","uproar, racket, outcry",Claude Bonus Words 1
conducive,"tending to promote or help bring about","A room containing forty screaming cousins is not conducive to homework.","favorable, helpful, supportive",Claude Bonus Words 1
conjecture,"an opinion formed without complete evidence; a guess","My conjecture is that the missing cookies and my brother's chocolate mustache are related.","guess, speculation, supposition",Claude Bonus Words 1
connive,"to secretly plot or conspire, or to pretend not to notice wrongdoing","The cats connived at dawn, and by breakfast the curtains were down and neither of them had 'seen anything.'","conspire, scheme, plot",Claude Bonus Words 1
corollary,"a natural consequence or result that follows from something else","A corollary of getting a trampoline is that every neighborhood kid now knows your address.","consequence, result, outgrowth",Claude Bonus Words 1
crass,"showing no sensitivity or refinement; blunt and tasteless","Asking how much the wedding cost during the vows was crass, even for Uncle Ray.","tactless, vulgar, insensitive",Claude Bonus Words 1
craven,"cowardly in a shameful way","In a craven move, I blamed the dog for the broken lamp while the dog was visibly asleep.","cowardly, spineless, gutless",Claude Bonus Words 1
credence,"belief in or acceptance of something as true","I give no credence to my brother's claim that he 'basically invented' the fist bump.","belief, trust, acceptance",Claude Bonus Words 1
crux,"the most important or decisive point","The crux of every family road trip argument is who touched whom first.","core, heart, essence",Claude Bonus Words 1
culminate,"to reach a final or climactic point","The food fight culminated in a single meatball sliding down the principal's window.","climax, conclude, peak",Claude Bonus Words 1
curmudgeon,"a bad-tempered, grumpy person","Our neighbor is a lovable curmudgeon who yells at clouds but leaves cookies on our porch.","grouch, grump, crank",Claude Bonus Words 1
debacle,"a complete, humiliating failure","The school talent show became a debacle when the smoke machine set off the sprinklers during my kazoo solo.","fiasco, disaster, meltdown",Claude Bonus Words 1
defunct,"no longer existing or functioning","My New Year's resolution to jog daily was defunct by January third.","extinct, obsolete, dead",Claude Bonus Words 1
deign,"to lower oneself to do something considered beneath one's dignity","The cat finally deigned to acknowledge me after I had served her dinner in the fancy bowl.","condescend, stoop, lower oneself",Claude Bonus Words 1
delude,"to make someone believe something false","I deluded myself into thinking one more episode meant one more episode.","deceive, mislead, fool",Claude Bonus Words 1
deluge,"a great flood or an overwhelming amount","One video of my dog wearing sunglasses triggered a deluge of follow requests from strangers and one from Grandma.","flood, torrent, downpour",Claude Bonus Words 1
demagogue,"a leader who gains power by stirring up emotions and prejudices","The fifth-grade demagogue won class president by promising a chocolate fountain he had no plan to deliver.","rabble-rouser, agitator, firebrand",Claude Bonus Words 1
demeanor,"outward behavior or manner","The dentist's cheerful demeanor did not match the terrifying tray of tools beside him.","manner, bearing, conduct",Claude Bonus Words 1
denigrate,"to criticize unfairly; to belittle","She denigrated my mini-golf technique, yet I am the one with the commemorative tiny pencil of victory.","belittle, disparage, malign",Claude Bonus Words 1
dichotomy,"a division into two opposed groups or ideas","There is a strict dichotomy in our house: people who refrigerate ketchup and people who are wrong.","division, split, contrast",Claude Bonus Words 1
dilapidated,"fallen into disrepair or ruin","Our dilapidated treehouse has a strict one-kid weight limit and a trapdoor nobody installed on purpose.","run-down, crumbling, decrepit",Claude Bonus Words 1
discrete,"separate and distinct","Dinner at Grandma's involves seven discrete forks, and using the wrong one is treason.","separate, distinct, individual",Claude Bonus Words 1
dissemble,"to hide one's true feelings or intentions","I tried to dissemble my horror when handed the fruitcake, but my left eye began to twitch.","pretend, feign, disguise",Claude Bonus Words 1
dissident,"a person who opposes official policy","The lone dissident in our house still refuses to accept the new chore chart, and he is four.","dissenter, rebel, objector",Claude Bonus Words 1
duress,"threats or pressure used to force someone to do something","I signed my sister's 'best sibling ever' certificate under duress; she was holding my phone over the toilet.","coercion, pressure, compulsion",Claude Bonus Words 1
earnest,"serious and sincere","The puppy made an earnest attempt to fit the entire frisbee in his mouth, and we all believed in him.","sincere, serious, heartfelt",Claude Bonus Words 1
edify,"to instruct or improve someone morally or intellectually","Dad's forty-minute lecture on lawn care did not edify me, but I now fear crabgrass.","enlighten, educate, instruct",Claude Bonus Words 1
efficacy,"the ability to produce a desired result","I question the efficacy of my 'study playlist,' since I know every lyric and none of the math.","effectiveness, potency, success",Claude Bonus Words 1
effusive,"expressing feelings with unrestrained enthusiasm","The golden retriever's effusive greeting knocked over two lamps and one grandmother.","gushing, exuberant, lavish",Claude Bonus Words 1
elegy,"a sad poem or song, especially mourning a loss","I composed an elegy for my ice cream cone, fallen to the sidewalk mere seconds after purchase.","lament, requiem, dirge",Claude Bonus Words 1
empirical,"based on observation or experiment rather than theory","Through empirical research, I determined that the smoke alarm is our most reliable dinner bell.","observed, experimental, evidence-based",Claude Bonus Words 1
