word,definition,sentence,synonyms,tags
abhor,To hate or detest intensely.,I abhor raisins in cookies because every raisin is a tiny betrayal pretending to be chocolate.,detest; loathe; despise; hate,Claude-Generated 1
abject,"Extremely miserable, degraded, or hopeless.","After forgetting his lines, losing his shoe, and walking into the scenery, Kevin's school-play debut was an abject disaster.",wretched; miserable; hopeless; degrading,Claude-Generated 1
absolve,"To free someone from blame, guilt, or responsibility.",The security footage absolved the dog of stealing the pie and implicated Grandma with devastating clarity.,exonerate; acquit; clear; forgive,Claude-Generated 1
accost,To approach and address someone boldly or aggressively.,A man dressed as a squirrel accosted me outside the supermarket to demand my position on acorns.,confront; approach; address; challenge,Claude-Generated 1
acumen,"The ability to make quick, accurate judgments and decisions.",Maya showed business acumen by selling umbrellas five minutes before the school's sprinkler system malfunctioned.,shrewdness; insight; astuteness; judgment,Claude-Generated 1
adamant,Refusing to change one's mind; firm and unyielding.,"Dad was adamant that he did not need reading glasses, although he had just complimented a fire hydrant on its sweater.",unyielding; resolute; firm; inflexible,Claude-Generated 1
adept,Highly skilled or proficient.,"My cat is adept at opening cabinets, ignoring commands, and locating tuna from three zip codes away.",skilled; proficient; expert; accomplished,Claude-Generated 1
admonish,To warn or reprimand someone firmly.,"The librarian admonished us for whispering too loudly, which felt like being arrested for speeding on a tricycle.",reprimand; warn; rebuke; scold,Claude-Generated 1
adroit,"Skillful, clever, and quick in movement or thought.","With one adroit motion, Grandma caught the falling cake, saved the candles, and blamed Uncle Ted.",skillful; deft; nimble; clever,Claude-Generated 1
adversity,"Difficulty, hardship, or misfortune.",We faced adversity when the Wi-Fi failed for nine minutes and several family members began learning one another's names.,hardship; difficulty; misfortune; distress,Claude-Generated 1
affinity,"A natural liking, connection, or similarity.","My brother has a mysterious affinity for stray cats, broken electronics, and foods that stain permanently.",liking; attraction; kinship; connection,Claude-Generated 1
affluent,Having a great deal of money or wealth.,The affluent poodle arrived at the dog park in a sweater that probably had its own financial adviser.,wealthy; rich; prosperous; well-to-do,Claude-Generated 1
alacrity,Cheerful readiness and quick willingness.,I accepted the offer of free pizza with such alacrity that my chair continued spinning after I had left the room.,eagerness; readiness; promptness; enthusiasm,Claude-Generated 1
alleviate,"To make pain, difficulty, or a problem less severe.","To alleviate my headache, I turned off my brother's trumpet and experienced an immediate medical miracle.",relieve; ease; lessen; mitigate,Claude-Generated 1
aloof,"Distant, reserved, or seemingly uninterested in others.","The cat remained aloof during the party, observing us from the bookshelf like a disappointed minor deity.",distant; detached; reserved; standoffish,Claude-Generated 1
anachronism,Something placed in a time period where it does not belong; something outdated.,A knight checking his smartwatch in the medieval movie was a glorious anachronism.,misplacement; throwback; relic; incongruity,Claude-Generated 1
analogous,Comparable in certain important ways.,"My father's relationship with the printer is analogous to an ancient blood feud, except with more toner.",comparable; similar; parallel; corresponding,Claude-Generated 1
animosity,Strong hostility or resentment.,There has been lasting animosity between our cat and the vacuum cleaner since the Incident of 2024.,hostility; resentment; enmity; antagonism,Claude-Generated 1
