word,definition,sentence,synonyms,tags
Abrasive,Harsh or irritating in manner; also physically rough.,The abrasive waiter didn't merely say the soup was unavailable; he implied my ancestors were foolish for wanting soup in the first place.,harsh; caustic; grating; rough,Blue and White - Hard
Attenuate,"To reduce the force, effect, or intensity of something.","I tried to attenuate the bagpipe noise by closing the window, hiding under a blanket, and briefly considering relocation to Antarctica.",weaken; diminish; lessen; reduce,Blue and White - Hard
Bereavement,Grief or mourning after the death of someone close.,"During his bereavement, Uncle Fred wore black, spoke softly, and somehow inherited seventeen extremely loud parrots.",grief; mourning; sorrow; loss,Blue and White - Hard
Boon,Something very helpful or beneficial.,"The invention of stretchy pants was a boon to everyone who had ever said, 'Yes, I would like dessert.'",benefit; blessing; advantage; aid,Blue and White - Hard
Circumscribe,"To limit, restrict, or define the boundaries of something.",Mom circumscribed my 'small birthday party' to twelve guests after I attempted to invite the entire marching band.,limit; restrict; confine; bound,Blue and White - Hard
Commensurate,"Corresponding appropriately in size, degree, or proportion.",My allowance was not commensurate with the heroic suffering involved in unloading a dishwasher containing three whole forks.,proportionate; corresponding; comparable; appropriate,Blue and White - Hard
Conflagration,"A large destructive fire; figuratively, a major violent conflict.",One forgotten pizza in the oven produced a conflagration impressive enough that the smoke detector seemed personally offended.,inferno; blaze; firestorm; conflict,Blue and White - Hard
Conspicuous,Easy to see or notice; attracting attention.,"Wearing a sequined tuxedo to the dentist made Kevin conspicuous, especially when the disco ball hat began spinning.",noticeable; prominent; obvious; striking,Blue and White - Hard
Construe,To interpret something in a particular way.,Please do not construe my screaming and sprinting from the room as criticism of your pet tarantula.,interpret; understand; read; explain,Blue and White - Hard
Contravene,"To violate or conflict with a law, rule, or principle.",Bringing a live goat into chemistry class contravened at least four school rules and one deeply reasonable fire code.,violate; breach; infringe; contradict,Blue and White - Hard
Defenestration,The act of throwing someone or something out of a window.,"The defenestration of the printer occurred shortly after it announced, for the ninth time, that there was a 'paper jam' despite containing no paper.",ejection; expulsion; throwing out,Blue and White - Hard
Delimit,To establish or mark the limits of something.,Dad used orange cones to delimit the part of the driveway where my brother was absolutely forbidden to practice flaming-javelin juggling.,define; bound; circumscribe; demarcate,Blue and White - Hard
Demarcate,To mark or establish a boundary or distinction.,A line of rubber ducks demarcated my sister's half of the bedroom after diplomatic negotiations collapsed.,delineate; delimit; separate; mark,Blue and White - Hard
Detached,Emotionally uninvolved or objective; also physically separate.,The referee remained detached while two parents argued passionately over whether a six-year-old had committed 'an outrageous injustice against soccer.',dispassionate; aloof; impartial; separate,Blue and White - Hard
Didactic,"Intended to teach, sometimes in an overly preachy way.",Grandpa's didactic story about fiscal responsibility began with a nickel in 1957 and somehow lasted until lunch.,instructive; educational; moralizing; pedagogical,Blue and White - Hard
Disparate,Fundamentally different or distinct in kind.,"The talent show featured disparate acts: opera, chainsaw sculpture, and a boy who claimed he could communicate telepathically with hamsters.",different; dissimilar; divergent; distinct,Blue and White - Hard
Engender,To cause or give rise to something.,The principal's announcement of a surprise six-hour assembly engendered a level of despair usually reserved for shipwrecks.,cause; produce; generate; provoke,Blue and White - Hard
Entrench,To establish so firmly that change becomes difficult.,Grandma's habit of hiding cash in cereal boxes became so entrenched that breakfast required a financial audit.,embed; establish; root; fortify,Blue and White - Hard
Exacting / to exact,"Exacting means demanding great care or effort; to exact means to demand or obtain something, often forcefully.","The exacting piano teacher demanded perfect scales, then exacted payment in the form of cash and one suspiciously large lemon tart.",demanding; rigorous; require; extract,Blue and White - Hard
Facetious,"Joking about something serious, often inappropriately.","When the canoe sprang a leak, Marcus facetiously asked whether anyone had brought a submarine.",flippant; joking; tongue-in-cheek; unserious,Blue and White - Hard
Fastidious,Very attentive to detail and cleanliness; hard to please.,"The fastidious cat refused to sit on the couch until I removed one crumb, two hairs, and what he considered an unacceptable decorative pillow.",meticulous; exacting; particular; fussy,Blue and White - Hard
Mutually exclusive,Unable to both be true or happen at the same time.,"My goals of 'eat the entire cake' and 'save the entire cake for tomorrow' were, tragically, mutually exclusive.",incompatible; contradictory; nonoverlapping,Blue and White - Hard
Nadir,The lowest or worst point.,My culinary career reached its nadir when the smoke alarm applauded my grilled cheese before I did.,low point; bottom; rock bottom,Blue and White - Hard
Pervasive,Spread throughout something; widespread.,The smell of burnt popcorn was so pervasive that even the goldfish looked annoyed.,widespread; prevalent; ubiquitous; extensive,Blue and White - Hard
Postulate,To suggest or assume something as a basis for reasoning.,"I postulate that the missing cookies were eaten by Dad, based on the crumbs in his beard and his refusal to testify.",propose; hypothesize; assume; posit,Blue and White - Hard
