word,definition,sentence,synonyms,tags
abbreviate,"To shorten a word, phrase, or text.","The teacher told me to abbreviate my twenty-page excuse, so I wrote, ""Dog. Homework. Complicated.""",shorten; condense; abridge; contract,Blue and White - Easy
abet,To help or encourage someone to do something wrong.,The dog abetted the cookie theft by barking whenever Mom approached the kitchen.,aid; assist; encourage; facilitate,Blue and White - Easy
abstain,To deliberately refrain from doing or consuming something.,"I vowed to abstain from dessert, a noble commitment that survived until the waiter said ""cheesecake.""",refrain; forgo; desist; avoid,Blue and White - Easy
abstract,Existing as an idea rather than a concrete object; also a summary.,Justice is abstract; the Lego under my bare foot was painfully concrete.,theoretical; conceptual; intangible; summary,Blue and White - Easy
abusive,"Extremely insulting, cruel, or harmful.","The parrot's abusive language was shocking, especially because Grandma claimed she had ""no idea where he learned it.""",cruel; insulting; harsh; mistreating,Blue and White - Easy
accessible,"Easy to reach, use, understand, or obtain.","The cookies were technically accessible, assuming you had a ladder, lock picks, and no respect for household rules.",reachable; available; usable; approachable,Blue and White - Easy
accolade,An award or expression of praise.,"My greatest accolade was a refrigerator magnet reading ""World's Okayest Cook.""",award; honor; tribute; praise,Blue and White - Easy
accumulate,To gather or increase gradually over time.,Dirty socks accumulated under my son's bed until they appeared to form their own municipal government.,collect; amass; gather; accrue,Blue and White - Easy
acuity,"Sharpness of thought, perception, or senses.",Grandma's visual acuity is remarkable: she can spot an unwashed plate from two rooms away.,sharpness; keenness; perception; discernment,Blue and White - Easy
adhere,To stick firmly to something; to follow a rule or belief.,"I tried to adhere to the diet, but the doughnut adhered more successfully to my hand.",stick; cling; comply; follow,Blue and White - Easy
adulation,Excessive praise or admiration.,The puppy received such adulation at the party that he began expecting applause for sitting down.,worship; praise; admiration; flattery,Blue and White - Easy
advocate,To publicly support a cause or idea; a person who does so.,Dad advocates energy conservation while leaving seventeen lights on to search for his glasses.,support; champion; promote; proponent,Blue and White - Easy
aesthetic,"Concerned with beauty, style, or artistic appearance.","The café's aesthetic was ""rustic farmhouse,"" which apparently means sitting on a crate beside a mason jar.",artistic; visual; stylistic; tasteful,Blue and White - Easy
affable,"Friendly, pleasant, and easy to talk to.",The affable dentist chatted warmly while holding equipment that looked designed for mining.,friendly; genial; amiable; cordial,Blue and White - Easy
alienate,"To make someone feel isolated, unwelcome, or hostile.","You can quickly alienate your coworkers by microwaving fish and then asking, ""Does anyone smell that?""",estrange; isolate; antagonize; distance,Blue and White - Easy
altercation,A heated argument or confrontation.,A minor altercation erupted over the last doughnut and required diplomatic intervention from Grandma.,argument; dispute; quarrel; confrontation,Blue and White - Easy
altruistic,Selflessly concerned with the welfare of others.,"My altruistic brother gave me the last slice of pizza, although I later learned he had already eaten six.",selfless; charitable; benevolent; unselfish,Blue and White - Easy
amass,To gather a large amount of something.,Grandpa amassed so many extension cords that the garage now resembles an electrical octopus preserve.,accumulate; gather; collect; stockpile,Blue and White - Easy
ambiguous,Open to more than one interpretation; unclear.,"The note ""Meet me by the bank"" was ambiguous because our town has a river and three financial institutions.",unclear; vague; equivocal; uncertain,Blue and White - Easy
ambivalent,Having mixed or contradictory feelings.,"I was ambivalent about the snowstorm: no school sounded wonderful, but shoveling did not.",conflicted; uncertain; torn; undecided,Blue and White - Easy
ameliorate,To make a bad or difficult situation better.,We ameliorated the long car ride by giving the children snacks and Grandpa noise-canceling headphones.,improve; alleviate; ease; mitigate,Blue and White - Easy
amiable,"Friendly, pleasant, and good-natured.","The amiable waiter smiled even after my toddler called him ""Captain Mustache"" for the fifth time.",friendly; genial; affable; agreeable,Blue and White - Easy
anarchy,A state of disorder caused by absence of authority or control.,"When the substitute teacher left for thirty seconds, the classroom descended into anarchy and someone crowned the hamster principal.",lawlessness; chaos; disorder; turmoil,Blue and White - Easy
anonymous,Not identified by name.,"An anonymous donor left fifty cupcakes at the office, and productivity immediately became anonymous too.",unnamed; unidentified; unknown; uncredited,Blue and White - Easy
antagonistic,"Hostile, opposing, or unfriendly.",The cat became antagonistic toward the vacuum after their first meeting and has rejected all peace talks.,hostile; opposed; combative; adversarial,Blue and White - Easy
apathy,"Lack of interest, enthusiasm, or concern.",My teenager greeted the announcement of a free museum trip with such apathy that even the couch looked more excited.,indifference; unconcern; lethargy; disinterest,Blue and White - Easy
appeal,To make an earnest request; also to attract or interest.,"The broccoli did not appeal to Leo until I renamed it ""tiny edible trees with cheese.""",attract; request; petition; charm,Blue and White - Easy
appease,To calm or satisfy someone by meeting a demand.,"We appeased the furious toddler with crackers, stickers, and temporary control of the television remote.",placate; pacify; mollify; soothe,Blue and White - Easy
arable,Suitable for growing crops.,The farmer's arable land produced corn; my backyard mostly produces mysterious plastic toys after snowmelt.,farmable; cultivable; fertile; tillable,Blue and White - Easy
archaic,Very old-fashioned or no longer commonly used.,"Dad's archaic phrase ""telephone directory"" caused the children to assume he meant an app for dinosaurs.",outdated; antiquated; obsolete; ancient,Blue and White - Easy
arid,Extremely dry; lacking moisture or interest.,"The desert was arid, and so was Uncle Ted's forty-minute lecture on lawn fertilizer.",dry; parched; barren; tedious,Blue and White - Easy
arrogant,Having an exaggerated sense of one's own importance or ability.,My arrogant rooster appears convinced that sunrise occurs because he personally announces it.,haughty; conceited; pompous; overbearing,Blue and White - Easy
articulate,Able to express ideas clearly and effectively; to express clearly.,The five-year-old was remarkably articulate when explaining why bedtime violated her civil liberties.,eloquent; expressive; lucid; well-spoken,Blue and White - Easy
artifact,"An object made by humans, especially one of historical interest.",The archaeologist found an ancient artifact; my son found a 2007 flip phone and reached the same conclusion.,relic; object; antiquity; remnant,Blue and White - Easy
ascend,To move upward or rise.,I ascended the stairs with dignity until the dog raced past me carrying my sock like a victory flag.,climb; rise; mount; soar,Blue and White - Easy
ascetic,Practicing severe self-discipline and avoiding luxury.,"My ascetic weekend lasted four minutes, ending when I remembered the hotel had room service.",austere; self-denying; abstemious; disciplined,Blue and White - Easy
assess,"To evaluate or estimate the nature, quality, or value of something.","The mechanic assessed the strange noise, frowned, and asked whether the car had recently swallowed a trombone.",evaluate; appraise; judge; estimate,Blue and White - Easy
assuage,To make an unpleasant feeling less intense.,I assuaged my guilt about eating the last cookie by reminding myself that the cookie would have wanted me to be happy.,ease; relieve; soothe; alleviate,Blue and White - Easy
atrophy,To waste away or weaken from lack of use.,My handwriting skills have atrophied so badly that my grocery list now resembles a medical emergency.,weaken; waste away; deteriorate; wither,Blue and White - Easy
audacity,Bold or shameless confidence.,He had the audacity to eat my fries and then complain that I had not ordered enough.,nerve; boldness; temerity; brazenness,Blue and White - Easy
audible,Able to be heard.,Grandpa's whisper was audible from the driveway and may have altered local migration patterns.,hearable; perceptible; distinct; detectable,Blue and White - Easy
austere,"Severely simple, plain, or strict.","The hotel room was austere: one bed, one chair, and a painting that looked apologetic.",plain; severe; spartan; unadorned,Blue and White - Easy
authoritarian,Favoring strict obedience to authority at the expense of personal freedom.,The toddler ran an authoritarian household in which bedtime was illegal and cookies were compulsory.,dictatorial; autocratic; oppressive; controlling,Blue and White - Easy
aversion,A strong dislike or desire to avoid something.,"My cat has an aversion to water, vacuum cleaners, closed doors, and apparently my happiness.",dislike; antipathy; repugnance; distaste,Blue and White - Easy
bane,A cause of persistent trouble or distress.,"Autocorrect is the bane of my existence, especially when it turns ""meeting"" into ""meatball.""",scourge; curse; torment; nuisance,Blue and White - Easy
barren,Unable to produce much vegetation; empty or unproductive.,"The fridge was barren except for mustard, one lime, and a container nobody was brave enough to open.",sterile; unproductive; desolate; empty,Blue and White - Easy
becloud,To make unclear or confused.,Three hours of contradictory instructions beclouded the issue until nobody remembered what we were assembling.,obscure; confuse; cloud; muddle,Blue and White - Easy
belie,To give a false impression of; to contradict or disprove.,His calm smile belied the panic in his eyes as the birthday candles ignited the tablecloth.,contradict; disguise; misrepresent; disprove,Blue and White - Easy
belligerant,"Hostile, aggressive, and eager to fight.",The belligerent goose approached our picnic as though enforcing an unpaid bread tax.,aggressive; hostile; combative; pugnacious,Blue and White - Easy
beneficial,Producing a good or helpful result.,"Exercise is beneficial, which is unfortunate because sitting down is so much more convenient.",helpful; advantageous; favorable; useful,Blue and White - Easy
benevolent,"Kind, generous, and wishing to do good.",Our benevolent neighbor returned my runaway dog and included a snack bag for both of us.,kind; charitable; compassionate; altruistic,Blue and White - Easy
bias,An unfair preference for or against something.,"As judge of the pie contest, Grandpa had an obvious bias toward whichever pie was currently on his plate.",prejudice; partiality; inclination; preference,Blue and White - Easy
blueprint,A detailed plan or design for how something should be built or achieved.,"My son's blueprint for a treehouse included a waterslide, elevator, and absolutely no discussion of gravity.",plan; design; scheme; outline,Blue and White - Easy
bolster,"To support, strengthen, or reinforce.","I bolstered my argument for ordering pizza with charts, testimonials, and the fact that I had burned dinner.",support; strengthen; reinforce; buttress,Blue and White - Easy
bustle,To move around energetically and busily.,Grandma bustled around the kitchen with such speed that the gravy appeared to fear her.,hurry; scurry; rush; bustle about,Blue and White - Easy
buttress,To support or strengthen something.,"The lawyer buttressed his case with photographs, receipts, and one extremely judgmental eyewitness parrot.",support; bolster; reinforce; strengthen,Blue and White - Easy
cacophony,"A harsh mixture of loud, unpleasant sounds.",The school band warm-up created a cacophony that caused several nearby birds to reconsider migration.,din; racket; discord; clamor,Blue and White - Easy
cajole,To persuade someone through flattery or gentle pressure.,I cajoled the dog off the couch by calling him handsome and mentioning cheese.,coax; persuade; wheedle; sweet-talk,Blue and White - Easy
candor,"Honest, open, and direct expression.","With refreshing candor, the waiter said, ""I work here, and I would not order the fish.""",frankness; honesty; openness; sincerity,Blue and White - Easy
censor,To suppress or remove material considered unacceptable.,"Mom censored Grandpa's wedding toast after discovering the phrase ""I probably shouldn't tell this story.""",suppress; edit; redact; restrict,Blue and White - Easy
certitude,Complete certainty or confidence that something is true.,"Dad announced with certitude that he knew the shortcut, moments before we crossed the same bridge for the third time.",certainty; assurance; conviction; confidence,Blue and White - Easy
chaos,Complete disorder and confusion.,The kitchen descended into chaos when the mixer started before anyone remembered to attach the bowl.,disorder; turmoil; confusion; anarchy,Blue and White - Easy
chronic,Continuing for a long time or recurring frequently.,My chronic habit of losing keys has turned the entryway into an archaeological excavation site.,persistent; recurring; continual; long-term,Blue and White - Easy
circumscribe,To limit or restrict within boundaries.,"Mom circumscribed my ""small party"" to ten guests after I invited the marching band.",limit; restrict; confine; bound,Blue and White - Easy
civil,Polite and courteous; relating to citizens or nonmilitary matters.,"The siblings remained civil during dinner, which meant nobody threw anything larger than a pea.",polite; courteous; respectful; civic,Blue and White - Easy
clandestine,Kept secret or done secretly.,Our clandestine midnight raid on the cookie jar failed when Dad opened the world's loudest bag of chips.,secret; covert; furtive; hidden,Blue and White - Easy
clemency,"Mercy or lenience, especially in punishment.","The judge showed clemency and reduced the dog's sentence from ""no couch"" to ""couch with supervision.""",mercy; leniency; compassion; pardon,Blue and White - Easy
coalesce,To come together and form one whole.,"The children, dog, and Grandma coalesced into a powerful coalition demanding pancakes for dinner.",unite; merge; combine; fuse,Blue and White - Easy
coherent,"Logical, clear, and consistent.","His explanation was coherent until he introduced time travel, a raccoon, and ""the cheese factor.""",logical; clear; consistent; intelligible,Blue and White - Easy
compassionate,Showing sympathy and concern for others' suffering.,"The compassionate dentist let me choose the music, then politely ignored my request to play funeral marches.",kind; empathetic; caring; merciful,Blue and White - Easy
compatible,Able to exist or work together without conflict.,"My goals of ""sleep late"" and ""attend the 7 a.m. meeting"" were not compatible.",harmonious; consistent; suitable; congruent,Blue and White - Easy
competent,Having sufficient skill or ability to do something well.,The plumber was competent enough to fix the sink without accidentally improving the toaster.,capable; proficient; skilled; able,Blue and White - Easy
comprehensible,Able to be understood.,The directions became comprehensible only after I turned the page right-side up.,understandable; intelligible; clear; coherent,Blue and White - Easy
comprehensive,Thorough and including nearly everything relevant.,"Dad's comprehensive packing list included sunscreen, passports, and, inexplicably, a rubber chicken.",thorough; complete; exhaustive; inclusive,Blue and White - Easy
concede,To admit something is true or to yield after resistance.,"I conceded that Grandma had won the argument after she produced receipts, witnesses, and a labeled pie chart.",admit; acknowledge; yield; surrender,Blue and White - Easy
