word,definition,sentence,synonyms
Abrasive,Harsh or irritating in manner; also physically rough.,The abrasive waiter didn't merely say the soup was unavailable; he implied my ancestors were foolish for wanting soup in the first place.,harsh; caustic; grating; rough
Attenuate,"To reduce the force, effect, or intensity of something.","I tried to attenuate the bagpipe noise by closing the window, hiding under a blanket, and briefly considering relocation to Antarctica.",weaken; diminish; lessen; reduce
Bereavement,Grief or mourning after the death of someone close.,"During his bereavement, Uncle Fred wore black, spoke softly, and somehow inherited seventeen extremely loud parrots.",grief; mourning; sorrow; loss
Boon,Something very helpful or beneficial.,"The invention of stretchy pants was a boon to everyone who had ever said, 'Yes, I would like dessert.'",benefit; blessing; advantage; aid
Circumscribe,"To limit, restrict, or define the boundaries of something.",Mom circumscribed my 'small birthday party' to twelve guests after I attempted to invite the entire marching band.,limit; restrict; confine; bound
Commensurate,"Corresponding appropriately in size, degree, or proportion.",My allowance was not commensurate with the heroic suffering involved in unloading a dishwasher containing three whole forks.,proportionate; corresponding; comparable; appropriate
Conflagration,"A large destructive fire; figuratively, a major violent conflict.",One forgotten pizza in the oven produced a conflagration impressive enough that the smoke detector seemed personally offended.,inferno; blaze; firestorm; conflict
Conspicuous,Easy to see or notice; attracting attention.,"Wearing a sequined tuxedo to the dentist made Kevin conspicuous, especially when the disco ball hat began spinning.",noticeable; prominent; obvious; striking
Construe,To interpret something in a particular way.,Please do not construe my screaming and sprinting from the room as criticism of your pet tarantula.,interpret; understand; read; explain
Contravene,"To violate or conflict with a law, rule, or principle.",Bringing a live goat into chemistry class contravened at least four school rules and one deeply reasonable fire code.,violate; breach; infringe; contradict
Defenestration,The act of throwing someone or something out of a window.,"The defenestration of the printer occurred shortly after it announced, for the ninth time, that there was a 'paper jam' despite containing no paper.",ejection; expulsion; throwing out
Delimit,To establish or mark the limits of something.,Dad used orange cones to delimit the part of the driveway where my brother was absolutely forbidden to practice flaming-javelin juggling.,define; bound; circumscribe; demarcate
Demarcate,To mark or establish a boundary or distinction.,A line of rubber ducks demarcated my sister's half of the bedroom after diplomatic negotiations collapsed.,delineate; delimit; separate; mark
Detached,Emotionally uninvolved or objective; also physically separate.,The referee remained detached while two parents argued passionately over whether a six-year-old had committed 'an outrageous injustice against soccer.',dispassionate; aloof; impartial; separate
Didactic,"Intended to teach, sometimes in an overly preachy way.",Grandpa's didactic story about fiscal responsibility began with a nickel in 1957 and somehow lasted until lunch.,instructive; educational; moralizing; pedagogical
Disparate,Fundamentally different or distinct in kind.,"The talent show featured disparate acts: opera, chainsaw sculpture, and a boy who claimed he could communicate telepathically with hamsters.",different; dissimilar; divergent; distinct
Engender,To cause or give rise to something.,The principal's announcement of a surprise six-hour assembly engendered a level of despair usually reserved for shipwrecks.,cause; produce; generate; provoke
Entrench,To establish so firmly that change becomes difficult.,Grandma's habit of hiding cash in cereal boxes became so entrenched that breakfast required a financial audit.,embed; establish; root; fortify
